score,title,company,location,countries,posted,url,source,department,contract_type,matched,first_seen,flags
51,Regional Business Development Manager _ AWA (Internal Recruitment),Aldelia,"Lagos, Nigeria, Lagos, Nigeria",Nigeria,,https://app.beehire.com/invite/7HEo-2Dra,aldelia,,permanent,"Nigeria, pipeline, operations, manager",2026-08-21 05:20:38,
51,Retail Training Assistant,Aldelia,"Kampala, Uganda, Kampala, Uganda",Uganda,,https://app.beehire.com/invite/cfsBBIiv4,aldelia,,permanent,"Uganda, integrity, operations, manager",2026-08-21 05:20:38,
51,Operator Training Simulator Engineer,Kintec Global,Middle East,Qatar,2026-08-18,https://www.kintecglobal.com/job/operator-training-simulator-engineer/,kintec,,,"Qatar, engineer",2026-08-21 08:57:56,
51,Senior Category Specialist (Projects & TA),Kintec Global,Middle East,Qatar,2026-08-18,https://www.kintecglobal.com/job/senior-category-specialist-projects--ta/,kintec,,,"Qatar, procurement",2026-08-21 08:57:56,
51,Contracts Advisor– SMP with Saudi Aramco,NES Fircroft,Saudi Arabia Dhahran,Saudi Arabia,2026-08-18,https://www.nesfircroft.com/job/contracts-advisor-smp-with-saudi-aramco/,nesfircroft,Oil & Gas,Contract,"Saudi Arabia, contracts",2026-08-21 09:03:53,
51,IT Support Lead-Onsite,KBR,"Basra, Iraq",Iraq,2026-08-18,https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Basra-Al-Barah-Iraq/IT-Support-Lead_R2126586/apply,kbr,Operations Support Group,Full time,"Iraq, operations",2026-08-21 09:42:17,
51,Business Support Specialist,Kintec Global,Middle East,Qatar,2026-08-17,https://www.kintecglobal.com/job/business-support-specialist/,kintec,,,"Qatar, operations",2026-08-21 08:57:56,
51,Quantity Surveyor (Pos. 21.1.20),Kintec Global,Middle East,Qatar,2026-08-17,https://www.kintecglobal.com/job/quantity-surveyor-pos-21120/,kintec,,,"Qatar, civil",2026-08-21 08:57:56,
51,Sr. System Engineer (Development) - Power Platform Solution Developer (Pos. 2.2.3),Kintec Global,Middle East,Qatar,2026-08-17,https://www.kintecglobal.com/job/sr-system-engineer-development---power-platform-solution-developer-pos-223/,kintec,,,"Qatar, engineer",2026-08-21 08:57:56,
51,Senior Internal Auditor (Operations),ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-17,https://jobs.adnoc.ae/us/en/job/AGLAGPAE32320EXTERNALENUS/senior-internal-auditor-operations,adnoc,"Legal, Compliance & Audit",External,"United Arab Emirates, operations",2026-08-21 09:38:29,
51,Control System Engineer,Kintec Global,Middle East,Qatar,2026-08-16,https://www.kintecglobal.com/job/control-system-engineer-5305/,kintec,,,"Qatar, engineer",2026-08-21 08:57:56,
51,Management Accountant,Kintec Global,Middle East,Qatar,2026-08-16,https://www.kintecglobal.com/job/management-accountant-5310/,kintec,,,"Qatar, manager",2026-08-21 08:57:56,
51,Financial Planning & Analysis Manager,Kintec Global,Middle East,Qatar,2026-08-16,https://www.kintecglobal.com/job/financial-planning--analysis-manager/,kintec,,,"Qatar, manager",2026-08-21 08:57:56,
51,Accounts & Tax Manager,Kintec Global,Middle East,Qatar,2026-08-16,https://www.kintecglobal.com/job/accounts--tax-manager/,kintec,,,"Qatar, manager",2026-08-21 08:57:56,
